subjectCode,courseNumber,courseTitle,creditNarrative,prereqNarrative
ACEN,110A,Advanced Academic English 1,5.0,
ACEN,110B,Advanced Academic English 2,5.0,
ACEN,110C,Advanced Grammar in Context,5.0,
ACEN,110D,Advanced Academic English 4,5.0,
AM,3,Precalculus for the Social Sciences,5.0,"Prerequisite(s): score of 200 or higher on the  mathematics placement examination (MPE), or MATH 2."
AM,6,Precalculus for Statistics,5.0,Prerequisite(s): MATH 2 or mathematics placement examination (MPE) score of 200 or higher or higher.
AM,10,Mathematical Methods for Engineers I,5.0,Prerequisite(s): score of 400 or higher on the  mathematics placement examination (MPE)  or MATH 3.
AM,11A,Mathematical Methods for Economists I,5.0,",Students who have already taken MATH 11A or MATH 19A should not take this course. Prerequisite(s): score of 300 or higher on the mathematics placement examination (MPE), AM 3 or AM 6, or MATH 3."
AM,11B,Mathematical Methods for Economists II,5.0,"[""OR"", [""OR"", [""OR"", ""ECON 11A"", ""AM 11A""], ""MATH 11A""], ""MATH 19A""]"
AM,20,Mathematical Methods for Engineers II,5.0,"[""OR"", [""OR"", ""MATH 19B"", [""AND"", ""MATH 20B"", ""AM 10""]], ""MATH 21""]"
AM,30,Multivariate Calculus for Engineers,5.0,"[""OR"", [""OR"", ""AM 10"", [""AND"", ""MATH 21"", ""MATH 19B""]], ""MATH 20B""]"
AM,100,Mathematical Methods for Engineers,5.0,"Prerequisite(s): AM 20 and AM 30, or by permission of instructor."
AM,107,Introduction to Fluid Dynamics,5.0,"[""OR"", [""OR"", [""OR"", ""AM 112"", ""MATH 107""], ""PHYS 116C""], ""EART 111""]"
AM,112,Introduction to Partial Differential Equations,5.0,Prerequisite(s): AM 100 or by permission of the instructor. Enrollment is restricted to juniors and seniors.
AM,114,Introduction to Dynamical Systems,5.0,"Prerequisite(s): AM 20; or MATH 21 and MATH 24; or PHYS 116A. Enrollment is restricted to sophomores, juniors and seniors."
AM,115,Stochastic Modeling in Biology,5.0,"Prerequisite(s): STAT 131 and AM 20; a university-level course in biology, and operational knowledge of a programming language; or consent of instructor."
AM,129,Foundations of Scientific Computing for Scientists and Engineers,5.0,"[""OR"", [""AND"", ""AM 10"", ""MATH 11A""], [""OR"", [""AND"", ""AM 10"", ""MATH 19A""], [""OR"", [""AND"", ""AM 10"", ""MATH 20A""], [""OR"", [""AND"", ""MATH 21"", ""MATH 11A""], [""OR"", [""AND"", ""MATH 21"", ""MATH 19A""], [""AND"", ""MATH 21"", ""MATH 20A""]]]]]]"
AM,147,Computational Methods and Applications,5.0,
AM,148,GPU Programming for Scientific Computations,5.0,Prerequisite(s): AM 147 or MATH 148 or PHYS 115.  Enrollment is restricted to juniors and seniors.
AM,170A,Mathematical Modeling 1,5.0,"Prerequisite(s): Satisfaction of the ELWR requirements. AM 30, and AM 114 or AM 214, and STAT 131 or CSE 107, or by permission of the instructor. Enrollment is restricted to juniors and seniors; graduate students may apply by permission."
AM,170B,Mathematical Modeling 2,5.0,"Prerequisites: AM 129 or AM 209, AM 147, and AM 112, and AM 170A. AM 170A may be taken concurrently with AM 170B on an exceptional basis by permission of the instructor. Enrollment is restricted to seniors. Graduate students may apply with permission of the instructor."
AM,198,Independent Study or Research,5.0,
AM,198F,Independent Study or Research,2.0,
