Academic English,ACEN,110A,Advanced Academic English 1,5.0,None,Students develop an academic vocabulary and successful reading strategies in English in order to understand high-level academic texts. Students also practice pronunciation and apply the rules of grammar to written and spoken academic language through weekly oral presentations and written assignments. Enrollment by instructor consent only.  Enrollment is restricted to international students.,None,
Academic English,ACEN,110B,Advanced Academic English 2,5.0,None,"Students continue to develop an academic vocabulary (e.g., collocations, idiomatic expressions), which is a significant contributor to successful academic reading and writing. Students also practice complex sentence structures in written and spoken language through weekly oral presentations and written assignments. Enrollment is by instructor consent only.  Enrollment is restricted to international students.",None,
Academic English,ACEN,110C,Advanced Grammar in Context,5.0,None,"Students continue to develop an academic vocabulary, and practice reading and writing complex sentences in English with a high level of grammatical and stylistic accuracy. Students also increase their oral fluency and pragmatic skills and their awareness of second-language learning. Enrollment by instructor consent only. Enrollment restricted to international students. (Formerly Advanced Academic English 3.)",None,
Academic English,ACEN,110D,Advanced Academic English 4,5.0,None,"Students continue to develop an academic vocabulary, and practice reading and writing complex essays in English with a high level of grammatical and stylistic accuracy. Students also continue to increase their oral fluency, pragmatic skills, and awareness of second-language learning. Enrollment is by instructor consent only.  Enrollment is restricted to international students.",None,
Applied Mathematics,AM,3,Precalculus for the Social Sciences,5.0,"Prerequisite(s): score of 200 or higher on the  mathematics placement examination (MPE), or MATH 2.","Introduces mathematical functions and their uses for modeling real-life problems in the social sciences. Includes inequalities, linear and quadratic equations, functions (linear, quadratic, polynomial, rational, power, exponential, logarithmic, trigonometric), inverses, and the composition of functions. Students cannot receive credit for both this course and MATH 3. MATH 3 can substitute for this course. (Formerly Applied Mathematics and Statistics 3.)",mf,
Applied Mathematics,AM,6,Precalculus for Statistics,5.0,Prerequisite(s): MATH 2 or mathematics placement examination (MPE) score of 200 or higher or higher.,"Reviews and introduces mathematical methods useful in the elementary study of statistics, including logic, real numbers, inequalities, linear and quadratic equations, functions, graphs, exponential and logarithmic functions, and summation notation. (Formerly AMS 6.)",mf,
Applied Mathematics,AM,10,Mathematical Methods for Engineers I,5.0,Prerequisite(s): score of 400 or higher on the  mathematics placement examination (MPE)  or MATH 3.,"Applications-oriented course on complex numbers and linear algebra integrating Matlab as a computational support tool. Introduction to complex algebra. Vectors, bases and transformations, matrix algebra, solutions of linear systems, inverses and determinants, eigenvalues and eigenvectors, and geometric transformations. Students cannot receive credit for this course and MATH 21.",mf,
Applied Mathematics,AM,11A,Mathematical Methods for Economists I,5.0,"Students who have already taken MATH 11A or MATH 19A should not take this course. Prerequisite(s): score of 300 or higher on the mathematics placement examination (MPE), AM 3 or AM 6, or MATH 3.","Introduction to mathematical tools and reasoning, with applications to economics. Topics are drawn from differential calculus in one variable and include limits, continuity, differentiation, elasticity, Taylor polynomials, and optimization. Students cannot receive credit for both this course and MATH 11A or MATH 19A or AM 15A. (AM 11A formerly AMS 11A.)",mf,
Applied Mathematics,AM,11B,Mathematical Methods for Economists II,5.0,"Prerequisite(s): ECON 11A, or AM 11A, or MATH 11A, or MATH 19A.","Mathematical tools and reasoning, with applications to economics. Topics are drawn from multivariable differential calculus and single variable integral calculus, and include partial derivatives, linear and quadratic approximation, optimization with and without constraints, Lagrange multipliers, definite and indefinite integrals, and elementary differential equations. Students cannot receive credit for both this course and MATH 11B or MATH 19B or AM 15B. (AM 11B formerly AMS 11B.)",mf,
Applied Mathematics,AM,20,Mathematical Methods for Engineers II,5.0,"Prerequisite(s): MATH 19B or MATH 20B, and AM 10 or MATH 21.",Applications-oriented class on ordinary differential equations (ODEs) and systems of ODEs using Matlab as a computational support tool. Covers linear ODEs and systems of linear ODEs; nonlinear ODEs using substitution and Laplace transforms; phase-plane analysis; introduction to numerical methods. Students cannot receive credit for this course and MATH 24.,mf,
Applied Mathematics,AM,30,Multivariate Calculus for Engineers,5.0,Prerequisite(s): AM 10 or MATH 21; and MATH 19B or MATH 20B.,"Advanced multivariate calculus for engineering majors. Coordinate systems, parametric curves, and surfaces; partial derivatives, gradient, Taylor expansion, stationary points, constrained optimization; integrals in multiple dimensions; integrals over curves and surfaces. Applications to engineering form an integral part of the course. Students cannot receive credit for this course and for MATH 22 or MATH 23A.",None,
Applied Mathematics,AM,100,Mathematical Methods for Engineers,5.0,"Prerequisite(s): AM 20 and AM 30, or by permission of instructor.","Covers important concepts in applied mathematics, including complex analysis, vector calculus, Fourier Series, and integral transforms. Applications of the methods to various problems in science and engineering are discussed.",None,
Applied Mathematics,AM,107,Introduction to Fluid Dynamics,5.0,Prerequisite(s): AM 112 or MATH 107 or PHYS 116C or EART 111.,Covers fundamental topics in fluid dynamics: Euler and Lagrange descriptions of continuum dynamics; conservation laws for inviscid and viscous flows; potential flows; exact solutions of the Navier-Stokes equation; boundary layer theory; gravity waves. Students cannot receive credit for this course and AM 217. (AM 107 formerly AMS 107.),None,
Applied Mathematics,AM,112,Introduction to Partial Differential Equations,5.0,Prerequisite(s): AM 100 or by permission of the instructor. Enrollment is restricted to juniors and seniors.,"Focuses on analytical methods for partial differential equations (PDEs) of two variables, including: the method of characteristics for first-order PDEs; classification of second-order PDEs; separation of variables; Sturm-Liouville theory; and Green's functions. Illustrates each method using applications taken from examples in physics. Students cannot receive credit for this course and AM 212A.",None,
Applied Mathematics,AM,114,Introduction to Dynamical Systems,5.0,"Prerequisite(s): AM 20; or MATH 21 and MATH 24; or PHYS 116A. Enrollment is restricted to sophomores, juniors and seniors.",Introduces continuous and discrete dynamical systems. Topics include: fixed points; stability; limit cycles; bifurcations; transition to and characterization of chaos; fractals. Examples are drawn from sciences and engineering. Students cannot receive credit for this course and AM 214 or MATH 145. (Formerly AMS 114.),mf,
Applied Mathematics,AM,115,Stochastic Modeling in Biology,5.0,"Prerequisite(s): STAT 131 and AM 20; a university-level course in biology, and operational knowledge of a programming language; or consent of instructor.","Application of differential equations, probability, and stochastic processes to problems in cell, organismal, and population biology. Topics include systems biology, cellular processes, gene-regulation, and population biology. Students may not receive credit for this course and AM 215.",None,
Applied Mathematics,AM,129,Foundations of Scientific Computing for Scientists and Engineers,5.0,Prerequisite(s): AM 10 and MATH 11A; or AM 10 and MATH 19A; or AM 10 and MATH 20A; or MATH 21 and MATH 11A; or MATH 21 and MATH 19A; or MATH 21 and MATH 20A.,"Covers fundamental aspects of scientific computing for research. Students are introduced to algorithmic development, programming (including the use of compilers, libraries, debugging, optimization, code publication), computational infrastructure, and data analysis tools, gaining hands-on experience through practical assignments. Basic programming experience is assumed.",None,
Applied Mathematics,AM,147,Computational Methods and Applications,5.0,None,"Applications of computational methods to solving mathematical problems using Matlab. Topics include solution of nonlinear equations, linear systems, differential equations, sparse matrix solver, and eigenvalue problems. Students cannot receive credit for this course and MATH 148. (Formerly AMS 147.)",mf,
Applied Mathematics,AM,148,GPU Programming for Scientific Computations,5.0,Prerequisite(s): AM 147 or MATH 148 or PHYS 115.  Enrollment is restricted to juniors and seniors.,"This second course in scientific computing focuses on the use of parallel processing on GPUs with CUDA. Basic topics covered include the idea of parallelism and parallel architectures. The course then presents key parallel algorithms on GPUs such as scan, reduce, histogram and stencil, and compound algorithms. Applications to scientific computing are drawn from problems in linear algebra, curve fitting, FFTs, systems of ODEs and PDEs, and image processing. Finally, the course presents optimization strategies specific to GPUs. Basic knowledge of Unix, and C is assumed.  (Formerly AMS 148.)",None,
Applied Mathematics,AM,170A,Mathematical Modeling 1,5.0,"Prerequisite(s): Satisfaction of the ELWR requirements. AM 30, and AM 114 or AM 214, and STAT 131 or CSE 107, or by permission of the instructor. Enrollment is restricted to juniors and seniors; graduate students may apply by permission.","Introduction to mathematical modeling emphasizing model construction, tool selection, methods of solution, critical analysis of the results, and professional-level presentation of the results (written and oral). Focuses on problems that can be solved using only analytical tools, and simple Matlab routines. Applications are drawn from a variety of fields such as physics, biology, engineering, and economics.
",None,
Applied Mathematics,AM,170B,Mathematical Modeling 2,5.0,"Prerequisites: AM 129 or AM 209, AM 147, and AM 112, and AM 170A. AM 170A may be taken concurrently with AM 170B on an exceptional basis by permission of the instructor. Enrollment is restricted to seniors. Graduate students may apply with permission of the instructor.","Second course in mathematical modeling emphasizing the general process of scientific inquiry: model construction, tool selection, numerical methods of solution, critical analysis of the results, and professional-level presentation of the results (written and oral). Focuses on problems that must be solved using numerical tools. Applications are drawn from a variety of fields.
",si,
Applied Mathematics,AM,198,Independent Study or Research,5.0,None,Students submit petition to sponsoring agency.,None,
Applied Mathematics,AM,198F,Independent Study or Research,2.0,None,Students submit petition to sponsoring agency.,None,
Applied Mathematics,AM,200,Research and Teaching in Applied Mathematics,3.0,Enrollment is restricted to graduate students.,"Basic teaching techniques for teaching assistants, including responsibilities and rights; resource materials; computer skills; leading discussions or lab sessions; presentation techniques; maintaining class records; and grading. Examines research and professional training, including use of library; technical writing; giving talks in seminars and conferences; and ethical issues in science and engineering. (Formerly AMS 200.)",None,
Applied Mathematics,AM,211,Foundations of Applied Mathematics,5.0,Enrollment is restricted to graduate students.,"Accelerated class reviewing fundamental applied mathematical methods for all sciences. Topics include: multivariate calculus, linear algebra, Fourier series and integral transform methods, complex analysis, and ordinary differential equations.  (Formerly AMS  211.)",None,
